Epidemiologyd,305.0,273.0,324.0,314.0,365.0,353.0,na,na,na,na,Health sciences,Life sciences
Gerontology (health sciences),na,na,10.0,15.0,14.0,13.0,14.0,13.0,25.0,22.0,Health sciences,Life sciences
Health and behavior,na,na,na,na,na,na,88.0,125.0,119.0,82.0,Health sciences,Life sciences
Health services research,na,na,na,na,na,na,na,na,120.0,164.0,Health sciences,Life sciences
Health systems administration,70.0,70.0,75.0,84.0,51.0,89.0,89.0,70.0,41.0,39.0,Health sciences,Life sciences
"Kinesiology, exercise sciencef",212.0,211.0,215.0,198.0,228.0,214.0,249.0,264.0,232.0,276.0,Health sciences,Life sciences
"Medical physics, radiological science",na,na,61.0,74.0,80.0,93.0,103.0,84.0,94.0,89.0,Health sciences,Life sciences
Nursing science,504.0,511.0,482.0,523.0,552.0,510.0,580.0,536.0,482.0,552.0,Health sciences,Life sciences
"Oral biology, oral pathology",na,na,15.0,22.0,15.0,20.0,15.0,19.0,23.0,33.0,Health sciences,Life sciences
Pharmaceutical sciencesg,277.0,277.0,274.0,271.0,295.0,332.0,279.0,270.0,274.0,292.0,Health sciences,Life sciences
Public health,229.0,299.0,295.0,266.0,349.0,431.0,400.0,437.0,379.0,446.0,Health sciences,Life sciences
"Rehabilitation, therapeutic services",89.0,80.0,61.0,60.0,80.0,85.0,83.0,86.0,108.0,86.0,Health sciences,Life sciences
Speech-language pathology and audiology,112.0,121.0,100.0,110.0,119.0,110.0,114.0,117.0,116.0,128.0,Health sciences,Life sciences
Veterinary sciences,54.0,60.0,57.0,60.0,59.0,67.0,42.0,56.0,49.0,51.0,Health sciences,Life sciences
"Health sciences, general",31.0,35.0,37.0,41.0,37.0,62.0,39.0,36.0,93.0,67.0,Health sciences,Life sciences
"Health sciences, other",96.0,79.0,101.0,83.0,76.0,80.0,106.0,85.0,69.0,98.0,Health sciences,Life sciences
Analytical chemistry,371.0,364.0,402.0,391.0,370.0,417.0,415.0,388.0,393.0,367.0,Chemistry,Physical sciences and earth sciences
Chemical biology,na,na,na,na,na,na,na,na,120.0,142.0,Chemistry,Physical sciences and earth sciences
Inorganic chemistry,301.0,331.0,294.0,320.0,307.0,297.0,372.0,354.0,343.0,339.0,Chemistry,Physical sciences and earth sciences
Medicinal chemistryh,na,na,na,na,na,na,86.0,79.0,72.0,69.0,Chemistry,Physical sciences and earth sciences
Organic chemistry,640.0,684.0,599.0,663.0,667.0,643.0,605.0,626.0,565.0,523.0,Chemistry,Physical sciences and earth sciences
Physical chemistry,331.0,319.0,360.0,390.0,360.0,355.0,340.0,366.0,379.0,332.0,Chemistry,Physical sciences and earth sciences
